id,parent_id,name,rank,common_name,obs_count
875165,63020,Sparassis brevipes,species,,34
1128529,47167,Phyllotopsidaceae,family,,0
63392,1128529,Tricholomopsis,genus,,0
194395,63392,Tricholomopsis decora,species,Decorated Mop,33
48426,48427,Gomphidiaceae,family,,0
48425,48426,Gomphidius,genus,Spikes,0
48424,48425,Gomphidius glutinosus,species,Slimy Spike,32
55472,47167,Bolbitiaceae,family,,0
55473,55472,Bolbitius,genus,,0
55474,55473,Bolbitius titubans,species,yellow fieldcap,32
63387,63392,Tricholomopsis rutilans,species,Plums-and-Custard,32
130203,48769,Hypholoma lateritium,species,Brick Cap,32
374622,64013,Collybiopsis,genus,Parachutes,0
1275338,374622,Collybiopsis confluens,species,clustered toughshank,32
1525546,154391,Collybia odora,species,Aniseed Funnel,32
117950,49490,Cladonia macilenta,species,Lipstick Powderhorn,31
60783,48420,Pluteus,genus,Shields,0
60782,60783,Pluteus cervinus,species,Deer Mushroom,30
51870,47167,Hygrophoraceae,family,Waxcaps and Allies,0
63108,51870,Hygrophorus,genus,Woodwaxes,0
67331,63108,Hygrophorus eburneus,species,Cowboy's Handkerchief,30
118042,47167,Cyphellaceae,family,,0
118043,118042,Chondrostereum,genus,,0
118036,118043,Chondrostereum purpureum,species,Silverleaf Fungus,30
118145,48444,Lycoperdon pratense,species,Meadow Puffball,30
136399,48496,Pleurotus pulmonarius,species,pale oyster,30
64076,48768,Pholiota,genus,Scalycaps,0
153445,64076,Pholiota squarrosa,species,shaggy scalycap,30
155081,55503,Stereum subtomentosum,species,yellowing curtain crust,30
318823,54321,Pleurosticta,genus,,0
318822,318823,Pleurosticta acetabulum,species,,30
58695,1181093,Lepiota,genus,,0
351371,58695,Lepiota clypeolaria,species,Shield Dapperling,30
370776,49490,Cladonia rangiformis,species,,30
55525,49073,Erysiphaceae,family,Powdery Mildews,0
375155,55525,Sawadaea,genus,,0
504530,375155,Sawadaea tulasnei,species,,30
1415510,47380,Postiaceae,family,,0
1428993,1415510,Ptychogaster,genus,,0
1428994,1428993,Ptychogaster albus,species,Powderpuff Bracket,30
1096394,47167,Pseudoclitocybaceae,family,,0
332677,1096394,Pseudoclitocybe,genus,Goblets,0
339415,332677,Pseudoclitocybe cyathiformis,species,The Goblet,29
1180517,47167,Omphalinaceae,family,,0
451027,1180517,Infundibulicybe,genus,Funnels,0
451026,451027,Infundibulicybe geotropa,species,Trooping Funnel,29
464807,55922,Mycena renati,species,beautiful bonnet,29
48418,48419,Amanita pantherina,species,Panthercap,28
48522,56310,Coprinopsis,genus,Inkcaps,0
48521,48522,Coprinopsis atramentaria,species,Common Ink Cap,28
48607,48611,Craterellus cornucopioides,species,Horn-of-plenty,28
54203,48702,Leccinum,genus,,0
63232,54203,Leccinum scabrum,species,Brown Birch-bolete,28
152029,48250,Laboulbeniomycetes,class,,0
152530,152029,Laboulbeniales,order,,0
337770,152530,Laboulbeniaceae,family,,0
362822,337770,Hesperomyces,genus,,0
1433448,362822,Hesperomyces harmoniae,species,,28
48510,1128529,Pleurocybella,genus,,0
48509,48510,Pleurocybella porrigens,species,angel's wings,27
57519,50814,Hymenochaetales,order,,0
57518,57519,Hymenochaetaceae,family,,0
118119,57518,Trichaptum,genus,,0
118115,118119,Trichaptum abietinum,species,Purplepore Bracket,27
117897,54743,Rhizocarpales,order,,0
117898,117897,Rhizocarpaceae,family,,0
117899,117898,Rhizocarpon,genus,Map Lichens,0
119888,117899,Rhizocarpon geographicum,species,yellow map lichen,27
49548,47394,Agaricus,genus,field and button mushrooms,0
143563,49548,Agaricus campestris,species,Meadow Mushroom,27
118046,47380,Meruliaceae,family,,0
179117,118046,Merulius,genus,,0
179113,179117,Merulius tremellosus,species,Trembling Crust,27
55013,50814,Geastrales,order,Geastrales,0
55014,55013,Geastraceae,family,,0
63077,55014,Geastrum,genus,Earthstars,0
179167,63077,Geastrum fimbriatum,species,Sessile Earthstar,27
341797,62484,Tricholoma terreum,species,Grey Knight,27
55174,48250,Dothideomycetes,class,,0
1520268,55174,Mycosphaerellales,order,,0
153031,1520268,Mycosphaerellaceae,family,,0
375127,153031,Ramularia,genus,,0
384093,375127,Ramularia rubella,species,,27
921916,451027,Infundibulicybe gibba,species,Common Funnel,27
974663,47378,Trametes cinnabarina,species,Northern Cinnabar Polypore,27
1529293,47167,Xeromphalinaceae,family,,0
56253,1529293,Xeromphalina,genus,,0
56251,56253,Xeromphalina campanella,species,Pinewood Gingertail,26
118248,118247,Lyophyllum,genus,Domecaps,0
118243,118248,Lyophyllum decastes,species,Fried Chicken Mushroom,26
48705,47167,Cortinariaceae,family,Webcaps,0
48704,48705,Cortinarius,genus,Webcaps,0
124344,48704,Cortinarius violaceus,species,violet webcap,26
57527,57518,Inonotus,genus,,0
194483,57527,Inonotus hispidus,species,Shaggy Bracket,26
69967,47169,Pucciniomycetes,class,,0
69968,69967,Pucciniales,order,rust fungi,0
69969,69968,Coleosporiaceae,family,,0
148087,69969,Coleosporium,genus,,0
381759,148087,Coleosporium tussilaginis,species,,26
57693,48445,Calvatia,genus,,0
57692,57693,Calvatia gigantea,species,giant puffball,25
47166,47167,Entolomataceae,family,,0
64709,47166,Clitopilus,genus,,0
64708,64709,Clitopilus prunulus,species,Sweetbread Mushroom,25
155093,49490,Cladonia coniocraea,species,Common Powderhorn,25
50884,47379,Polyporus,genus,,0
351927,50884,Polyporus tuberaster,species,tuberous polypore,25
63224,48522,Coprinopsis picacea,species,Magpie Inkcap,24
48248,53539,Hypocreales,order,,0
118017,48248,Nectriaceae,family,,0
118022,118017,Nectria,genus,,0
118012,118022,Nectria cinnabarina,species,Coral Spot,24
125366,63266,Clavulina cinerea,species,grey coral fungus,24
382877,54597,Lactarius blennius,species,Slimy Milkcap,24
118087,57518,Phellinus,genus,,0
410639,118087,Phellinus pomaceus,species,Cushion Bracket,24
67747,54321,Usnea,genus,beard lichens,0
532452,67747,Usnea dasopoga,species,Fishbone Beard Lichen,24
1254633,55503,Stereum insignitum,species,,24
48422,48423,Hydnum,genus,hedgehog mushrooms,0
48641,48422,Hydnum repandum,species,Wood Hedgehog,23
55605,48522,Coprinopsis lagopus,species,hare's foot inkcap,23
124705,64076,Pholiota aurivella,species,Golden Pholiota,23
128052,48806,Kretzschmaria,genus,,0
128051,128052,Kretzschmaria deusta,species,Brittle Cinder,23
153459,48339,Russula ochroleuca,species,Ochre Brittlegill,23
194414,48339,Russula nigricans,species,Blackening Brittlegill,23
71043,69968,Phragmidiaceae,family,,0
205077,71043,Phragmidium,genus,,0
205076,205077,Phragmidium violaceum,species,Violet Bramble Rust,23
175657,50253,Lecidella,genus,Disc Lichens,0
223123,175657,Lecidella elaeochroma,species,Lecidella lichen,23
352311,48339,Russula vesca,species,The Flirt,23
1399469,117956,Gomphillaceae,family,,0
175774,1399469,Gyalidea,genus,,0
463049,175774,Gyalidea asteriscus,species,,23
361640,51870,Cuphophyllus,genus,Waxcaps,0
486380,361640,Cuphophyllus virgineus,species,Snowy Waxcap,23
117423,54743,Pertusariales,order,"wart lichens, water lichens, and allies",0
117864,117423,Pertusariaceae,family,"wart lichens, pore lichens, and allies",0
630829,117864,Lepra,genus,Fluff-wart lichens,0
1028392,630829,Lepra albescens,species,Pore lichen,23
352247,57518,Fomitiporia,genus,,0
1393185,352247,Fomitiporia hartigii,species,,23
58698,55268,Xylaria polymorpha,species,dead man's fingers,22
179107,55922,Mycena epipterygia,species,Yellowleg Bonnet,22
194736,54294,Peltigera collina,species,tree pelt lichen,22
60724,54321,Xanthoparmelia,genus,rock shield lichens,0
203800,60724,Xanthoparmelia conspersa,species,Peppered Rock-shield,22
217100,49490,Cladonia floerkeana,species,Gritty British soldiers lichen,22
343169,48444,Lycoperdon echinatum,species,Spiny Puffball,22
350216,48703,Boletus reticulatus,species,Summer Bolete,22
474502,416305,Xerocomellus pruinatus,species,Matte Bolete,22
786892,416512,Hemipholiota,genus,,0
786894,786892,Hemipholiota populnea,species,Destructive Pholiota,22
56311,56310,Parasola,genus,,0
830766,56311,Parasola conopilea,species,conical brittlestem,22
959236,1415510,Cyanosporus,genus,,0
959237,959236,Cyanosporus caesius,species,Blue Cheese Polypore,22
416523,47167,Tubariaceae,family,,0
55575,416523,Tubaria,genus,Twiglets,0
55573,55575,Tubaria furfuracea,species,scurfy twiglet,21
58699,49548,Agaricus arvensis,species,Horse Mushroom,21
63460,55922,Mycena haematopus,species,Bleeding Fairy Helmet,21
117877,117887,Physcia aipolia,species,Hoary Rosette Lichen,21
121439,47167,Nidulariaceae,family,bird's nest fungi,0
68301,121439,Cyathus,genus,,0
120242,68301,Cyathus striatus,species,fluted bird's nest fungus,21
229765,48325,Ramalina fraxinea,species,Cartilage Lichen,21
1179953,56310,Candolleomyces,genus,,0
1179954,1179953,Candolleomyces candolleanus,species,Pale Brittlestem,21
